sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
47,0.8842099705682882,0.0,0.0,0.0,1.0638154004160767,2.0,1.5091439731331242,0.10336930372086171,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.10558893440143832,1
48,0.7080352544234513,0.0,0.0,0.0,0.9266795556903444,2.0,1.5634136825078893,0.11187900675840486,0.5,0.2,1111,1e-06,0.2,6.5,5.8000000000000025,0.09298672978420831,1
49,0.530449950370458,0.0,0.0,0.0,1.1268389176041214,2.0,1.4272469398505352,0.11434288858245487,0.5,0.2,1111,1e-06,0.2,6.5,2.6,0.07696094665369298,1
50,0.7706046367503171,0.0,0.0,0.0,0.8489345601247452,2.0,1.54446966769067,0.12795051383613026,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.08291421273585199,1
51,0.8256832736933305,0.0,0.0,0.0,1.150615996794877,2.0,1.6251869001120482,0.11937945703083894,0.5,0.2,1111,1e-06,0.2,6.5,3.400000000000001,0.07862360901935268,1
52,0.8417314778635874,0.0,0.0,0.0,1.080457914855805,2.0,1.4567495213172443,0.11231536762680422,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.10587403696150442,1
53,0.5179542038669949,0.0,0.0,0.0,0.9343952040579335,2.0,1.5724397345131285,0.12134169824974003,0.5,0.2,1111,1e-06,0.2,6.5,inf,nan,0
54,0.6752765718242646,0.0,0.0,0.0,1.0017166093480572,2.0,1.3201755789009,0.11438975993018159,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.08430497871024173,1
55,0.7571273448375211,0.0,0.0,0.0,0.9902598381001906,2.0,1.4290951672163628,0.11804428888847365,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.10517431639582067,1
56,0.751099725747933,0.0,0.0,0.0,1.0993871106900133,2.0,1.5836172315115367,0.11658991818397672,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.10262995151361683,1
57,0.8621183634572631,0.0,0.0,0.0,0.9603426948042485,2.0,1.4417434191970107,0.1305294851825679,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.09911399852556665,1
58,0.5672951984498255,0.0,0.0,0.0,1.0303257943587425,2.0,1.51705797368921,0.13013994063033502,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.08804226868057802,1
59,0.8839197359441268,0.0,0.0,0.0,0.9967332057231322,2.0,1.8484054211993803,0.11896544138313403,0.5,0.2,1111,1e-06,0.2,6.5,1.5999999999999999,0.10873497470713883,1
60,0.7452810528344698,0.0,0.0,0.0,0.8833458233047367,2.0,1.5283746076425608,0.1176666353141419,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.08187833564185912,1
61,0.5370852330946927,0.0,0.0,0.0,1.1106060340385917,2.0,1.4032120796504028,0.1193518740973219,0.5,0.2,1111,1e-06,0.2,6.5,0.8,0.05201489865519244,1
62,0.8976890996242142,0.0,0.0,0.0,1.056494176780273,2.0,1.4824204420256977,0.1111145645475108,0.5,0.2,1111,1e-06,0.2,6.5,5.400000000000002,0.09399626394318535,1
63,0.7342947439500216,0.0,0.0,0.0,1.153760035094146,2.0,1.5401186485253473,0.1304166687748904,0.5,0.2,1111,1e-06,0.2,6.5,6.400000000000003,0.10173519059171446,1
64,0.5593820155983759,0.0,0.0,0.0,1.0331584397740605,2.0,1.4764099394635921,0.12282048402768003,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.055477793567785934,1
65,0.7498912706246729,0.0,0.0,0.0,1.154931463149226,2.0,1.7405489165492147,0.12130859592327392,0.5,0.2,1111,1e-06,0.2,6.5,1.9999999999999998,0.14886127854452866,1
66,0.7891800043465547,0.0,0.0,0.0,0.9639104863057495,2.0,1.46796150692375,0.13225020703872964,0.5,0.2,1111,1e-06,0.2,6.5,1.7999999999999998,0.06995875239314547,1
67,0.8618285669901685,0.0,0.0,0.0,1.1469062024990389,2.0,1.4758864151817213,0.11724379832896033,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.12890007248934046,1
